Item-name	Item-Description	category1	price	sku	image-url	Shipping-fee	quantity
"Pearl and elliptical aventurine (indian jade) necklace, 17"""	"Pearl and elliptical aventurine (indian jade) necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	106	http://www.semiprecious.com/images/necklaces/prljade1.jpg	$1.50 	2
"Pearl and elliptical simulated turquoise necklace, 17"""	"Pearl and elliptical simulated turquoise necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	98	http://www.semiprecious.com/images/necklaces/prlturq1.jpg	$1.50 	5
"Pearl and garnet necklace, 17"" two strand necklace"	"Pearl and garnet necklace, 17"" two strand necklace.  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$20.00 	139	http://www.semiprecious.com/images/necklaces/139.jpg	$2.00 	10
"Pearl and garnet necklace, 24"""	"Pearl and garnet necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$18.00 	110	http://www.semiprecious.com/images/necklaces/prl42grn.jpg	$2.00 	10
"Pearl and jasper necklace, 17"""	"Pearl and jasper necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	103	http://www.semiprecious.com/images/necklaces/prljasper.jpg	$1.50 	3
"Pearl and lapis necklace, 24"""	"Pearl and lapis necklace, 24""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$19.00 	111	http://www.semiprecious.com/images/necklaces/prl42lap.jpg	$2.00 	4
"Pearl and mixed spherical stones necklace, 17"""	"Pearl and mixed spherical stones necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	127	http://www.semiprecious.com/images/necklaces/127.jpg	$1.50 	5
"Pearl and periodot, double strand necklace, 17"""	"Pearl and periodot, double strand necklace, 17""   For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$20.00 	165	http://www.semiprecious.com/images/necklaces/165.jpg	$2.50 	5
"Pearl and rectangular goldstone necklace, 17"""	"Pearl and rectangular goldstone necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	102	http://www.semiprecious.com/images/necklaces/prlgoldsq.jpg	$1.50 	7
"Pearl and spherical aventurine (Indian jade) necklace, 17"""	"Pearl and spherical aventurine (indian jade) necklace, 17""  For a wide variety of beautiful indian jewelry, visit <a href=""http://www.semiprecious.com""> www.semiprecious.com </a>  International shipping: $3.50"	296341	$10.00 	122	http://www.semiprecious.com/images/necklaces/122.jpg	$1.50 	10
